Instance ID of pair,UID of pair,score,source,target,structure_based,dist,dist_known,dist_exp,dist_exp_known,known_reaction,max_bridgit
aux1,3f7efaad7cb81bcaf1d333b932139ba071629735f089157406cea36ac9c6654b,0.0703125,1916722,1467867313,0,14.222222222222221,14.222222222222221,14.222222222222221,14.222222222222221,0,1
aux2,8ac1c19879bb2ae50607d50a833531187c2f7810336b18d076fa3786c63d3e49,0.0355556,1467879801,1467866565,0,28.124964843793947,28.124964843793947,28.124964843793947,28.124964843793947,0,1
aux3,37cf84f1c2a0f4828f74196264b083bd097bed1960d0d30eba0f95fc91b6012e,0.851424,1916722,1467866565,0,1.1745029503514113,1.1745029503514113,1.1745029503514113,1.1745029503514113,0,1
aux4,401e460ebd2a7b62078456ffde36e5819ca8a576e9d8f4065f2475b26a2cf9e6,0.0343392,RWXZBJIVTZKYFX,1467867313,0,29.121237536110335,29.121237536110335,29.121237536110335,29.121237536110335,0,1
aux5,c51ec52ce69dfb29369953e6d9d367ca4755aab8ec530e3b41c54c661101cd0a,0.0172222,1467879801,MUUFJIFAAHRREF,0,58.06459105108523,58.06459105108523,58.06459105108523,58.06459105108523,0,1
aux6,cca6d25cb4f9bbda93f2694848ba0fd0e0d58706b5e0aea4a5168e828070dcb1,0.921418,RWXZBJIVTZKYFX,MUUFJIFAAHRREF,0,1.0852837691471189,1.0852837691471189,1.0852837691471189,1.0852837691471189,0,1
aux7,c51ec52ce69dfb29369953e6d9d367ca4755aab8ec530e3b41c54c661101cd0a,0.0172222,1467879801,MUUFJIFAAHRREF,0,58.06459105108523,58.06459105108523,58.06459105108523,58.06459105108523,0,1
aux8,6394243333677564b2c71cffe5289eef1e4957779c62f69d0554ead949a34909,0.950556,1468097851,MUUFJIFAAHRREF,0,1.0520158728154891,1.0520158728154891,1.0520158728154891,1.0520158728154891,0,1
aux9,732a9b67e4d5087fd020c6742439b22725acf59cf72fdb803fc8496f6872c00d,0.771072,RWXZBJIVTZKYFX,LIPVUDSNGRJSQE,0,1.2968957503320053,1.2968957503320053,1.2968957503320053,1.2968957503320053,0,1
aux10,a23b26e592d73127c26b10188500403ecbc5b786af6a123a6ddeacd81494156c,0.0972222,1467879801,1467868389,0,10.285716636735232,10.285716636735232,10.285716636735232,10.285716636735232,0,1
aux11,5cac00277a254a39c4727499e4836173e4851afbfa64ee0c4f349e67a86e1a5e,0.163097,RWXZBJIVTZKYFX,1467868389,0,6.131320625149451,6.131320625149451,6.131320625149451,6.131320625149451,0,1
aux12,7b6614cf98a5d06cd29f90b4749a97461f2144abc2d95fbace0bb46a947589fe,0.905307,RWXZBJIVTZKYFX,1468097851,0,1.104597666868808,1.104597666868808,1.104597666868808,1.104597666868808,0,1
aux13,401e460ebd2a7b62078456ffde36e5819ca8a576e9d8f4065f2475b26a2cf9e6,0.0343392,RWXZBJIVTZKYFX,1467867313,0,29.121237536110335,29.121237536110335,29.121237536110335,29.121237536110335,0,1
aux14,232afdd90e7711fc9096d5d006426ba36de4a675dba0f4e91b45eb20a016949b,0.0495868,SATCULPHIDQDRE,1467879801,0,20.166657255559947,20.166657255559947,20.166657255559947,20.166657255559947,0,1
aux15,6ef8fc903848f263844406763d1c94b733b5187466bf86b969a6e5fcb4651c07,0.497041,1916722,LIPVUDSNGRJSQE,0,2.011906462444748,2.011906462444748,2.011906462444748,2.011906462444748,0,1
aux16,545c18086c0850dbc43cb6698b27f66c54d27962eaa929f6513a0641581dc079,0.307595,SATCULPHIDQDRE,LIPVUDSNGRJSQE,0,3.2510281376485315,3.2510281376485315,3.2510281376485315,3.2510281376485315,0,1
aux17,bcb58a2acfebfd786c142bcc2ae302fb22371c912bfe3e1612e25ac254836b66,0.88909,QFQYZMGOKIROEC,SATCULPHIDQDRE,0,1.124745526324669,1.124745526324669,1.124745526324669,1.124745526324669,0,1
aux18,ac3f5121012ed521cf08334fdce6a52b88d1d85bd06eb640b435b2ea9b21fd4d,1.0,1467880967,QFQYZMGOKIROEC,0,1.0,1.0,1.0,1.0,0,1
