CMP1,CMP2,SCORE
KCUNTYMNJVXYKZ,OKKJLVBELUTLKV,0.0703125
XLYOFNOQVPJJNP,QIVBCDIJIAJPQS,0.0355556
KCUNTYMNJVXYKZ,QIVBCDIJIAJPQS,0.851424
RWXZBJIVTZKYFX,OKKJLVBELUTLKV,0.0343392
XLYOFNOQVPJJNP,MUUFJIFAAHRREF,0.0172222
RWXZBJIVTZKYFX,MUUFJIFAAHRREF,0.921418
XLYOFNOQVPJJNP,MUUFJIFAAHRREF,0.0172222
WOXKDUGGOYFFRN,MUUFJIFAAHRREF,0.950556
RWXZBJIVTZKYFX,LIPVUDSNGRJSQE,0.771072
XLYOFNOQVPJJNP,FSYKKLYZXJSNPZ,0.0972222
RWXZBJIVTZKYFX,FSYKKLYZXJSNPZ,0.163097
RWXZBJIVTZKYFX,WOXKDUGGOYFFRN,0.905307
RWXZBJIVTZKYFX,OKKJLVBELUTLKV,0.0343392
SATCULPHIDQDRE,XLYOFNOQVPJJNP,0.0495868
KCUNTYMNJVXYKZ,LIPVUDSNGRJSQE,0.497041
SATCULPHIDQDRE,LIPVUDSNGRJSQE,0.307595
QFQYZMGOKIROEC,SATCULPHIDQDRE,0.889090
KSEBMYQBYZTDHS,QFQYZMGOKIROEC,1
