1467866565	1916722
1916722	LIPVUDSNGRJSQE
LIPVUDSNGRJSQE	RWXZBJIVTZKYFX
RWXZBJIVTZKYFX	1468097851
RWXZBJIVTZKYFX	MUUFJIFAAHRREF
1468097851	MUUFJIFAAHRREF
1467900185	1467870034
1467870034	1469351480
1467870034	1467878631
1467870034	1467959390
1467870034	1467898292
1467870034	1467900196
1467870034	1467900207
1469351480	1467880967
1467880967	QFQYZMGOKIROEC
1467880967	1467878631
1467880967	1468350113
QFQYZMGOKIROEC	SATCULPHIDQDRE
1467878631	1467916064
1467959390	1468350113
1467898292	1467916064
1467865652	383753545
1467878443	1467900207
1467878443	428869604
1467878443	1467867780
1467900207	428869604
