Pathways found,Pathway search time,Pairs to annotate,DB annotation time,Boundaries found total,Boundaries found in the graph
150,47.96800923347473,147,42.77356576919556,49,47
1407,1473.0290207862854,723,202.9278371334076,188,166
4958,3588.0637991428375,1849,518.8264429569244,306,263
7839,4121.537003993988,1450,390.05035376548767,228,174
5202,3346.1215488910675,703,175.39055180549622,146,81
2412,2798.810105085373,273,71.91437530517578,98,27
747,735.2266891002655,88,25.0137460231781,79,6
150,388.1458990573883,10,2.5950000286102295,74,0
74,4
